組み合わせ,最頻出着順1,出現数1,出現率1,最頻出着順2,出現数2,出現率2,最頻出着順3,出現数3,出現率3,レース数
ACDBBS,1-5-6,4,0.069,1-2-6,4,0.069,6-1-5,3,0.052,58
ACDBCA,1-6-4,4,0.125,1-4-6,3,0.094,4-5-6,2,0.062,32
ACDBCS,1-6-4,9,0.127,1-6-2,6,0.085,1-2-3,5,0.07,71
ACDBDA,1-4-3,1,1.0,---,0,0.0,---,0,0.0,1
ACDBDS,4-1-6,2,0.111,6-1-4,2,0.111,6-1-2,1,0.056,18
ACDBSA,1-5-6,3,0.6,1-6-4,1,0.2,4-1-6,1,0.2,5
ACDBSB,5-1-2,3,0.081,1-5-3,3,0.081,1-5-6,3,0.081,37
ACDBSC,1-5-2,5,0.102,5-1-4,4,0.082,1-5-4,3,0.061,49
ACDBSD,1-5-4,3,0.2,2-1-5,2,0.133,5-1-3,2,0.133,15
ACDCAA,1-5-2,4,0.047,1-4-6,4,0.047,1-2-4,4,0.047,85
ACDCAB,1-2-3,4,0.222,1-2-5,3,0.167,1-5-4,2,0.111,18
ACDCAS,1-5-4,5,0.185,1-6-5,3,0.111,1-6-2,2,0.074,27
ACDCBA,1-2-6,4,0.108,6-1-2,3,0.081,1-3-4,3,0.081,37
ACDCBS,1-6-4,4,0.111,1-2-3,3,0.083,1-4-5,3,0.083,36
ACDCCA,1-6-4,1,1.0,---,0,0.0,---,0,0.0,1
ACDCCS,1-6-4,3,0.25,1-2-3,1,0.083,6-2-1,1,0.083,12
ACDCDS,1-6-5,1,0.333,1-3-6,1,0.333,1-2-4,1,0.333,3
ACDCSA,1-5-4,2,0.133,5-1-6,1,0.067,5-1-4,1,0.067,15
ACDCSB,1-5-6,5,0.125,5-1-4,4,0.1,1-5-2,4,0.1,40
ACDCSC,3-5-1,1,0.143,5-6-3,1,0.143,5-2-1,1,0.143,7
ACDCSS,5-1-6,2,1.0,---,0,0.0,---,0,0.0,2
ACDDAA,6-1-5,1,0.143,6-1-4,1,0.143,5-1-6,1,0.143,7
ACDDAS,1-5-6,4,0.19,6-1-3,2,0.095,1-6-5,2,0.095,21
ACDDBS,1-6-2,3,0.3,6-1-5,1,0.1,6-1-2,1,0.1,10
ACDDSA,1-5-6,4,0.143,1-5-3,3,0.107,1-5-2,3,0.107,28
ACDDSB,1-2-5,2,0.154,1-5-2,2,0.154,1-5-3,2,0.154,13
