組み合わせ,最頻出着順1,出現数1,出現率1,最頻出着順2,出現数2,出現率2,最頻出着順3,出現数3,出現率3,レース数
BBABCA,1-2-3,8,0.088,1-2-4,6,0.066,1-3-2,5,0.055,91
BBABCB,1-2-3,98,0.074,1-3-2,89,0.067,1-3-4,87,0.066,1326
BBABCC,1-2-3,89,0.096,1-3-4,79,0.085,1-3-2,76,0.082,924
BBABCD,1-3-2,19,0.168,1-3-4,11,0.097,1-2-3,7,0.062,113
BBABCS,1-6-3,1,1.0,---,0,0.0,---,0,0.0,1
BBABDA,1-2-3,31,0.075,1-3-6,28,0.068,1-3-2,22,0.053,414
BBABDB,1-2-3,52,0.091,1-3-2,41,0.072,1-3-4,40,0.07,573
BBABDC,1-2-3,10,0.119,2-1-3,6,0.071,1-2-4,5,0.06,84
BBABDS,1-6-4,5,0.104,6-4-3,3,0.062,6-1-4,3,0.062,48
BBABSC,3-2-5,1,1.0,---,0,0.0,---,0,0.0,1
BBABSD,2-1-3,4,0.148,1-3-4,4,0.148,3-5-1,2,0.074,27
BBACAB,1-5-2,6,0.063,1-3-2,6,0.063,1-2-3,6,0.063,95
BBACAC,1-2-3,34,0.069,1-3-2,33,0.067,1-3-5,25,0.051,490
BBACAD,1-2-3,29,0.078,1-3-2,25,0.067,1-3-5,24,0.064,374
BBACBA,1-2-3,7,0.076,1-3-2,7,0.076,1-3-6,6,0.065,92
BBACBB,1-2-3,116,0.098,1-3-2,101,0.085,1-3-5,53,0.045,1184
BBACBC,1-2-3,91,0.1,1-3-2,69,0.076,1-3-5,49,0.054,906
BBACBD,1-3-2,10,0.106,1-5-3,5,0.053,1-5-2,5,0.053,94
BBACCA,1-3-2,45,0.09,1-3-6,30,0.06,1-2-3,25,0.05,502
BBACCB,1-2-3,86,0.106,1-3-2,84,0.103,1-3-4,42,0.052,812
BBACCC,1-2-3,20,0.177,1-2-5,7,0.062,1-3-4,7,0.062,113
BBACCS,1-3-5,2,0.08,6-1-3,2,0.08,3-2-1,1,0.04,25
BBACDA,1-2-3,26,0.082,1-3-2,24,0.076,1-3-6,22,0.069,317
BBACDB,1-2-3,7,0.103,1-3-2,5,0.074,1-3-4,4,0.059,68
BBACDS,1-6-2,11,0.075,1-3-6,9,0.062,1-2-6,6,0.041,146
BBACSC,2-1-5,2,0.1,1-2-5,2,0.1,6-2-1,1,0.05,20
BBACSD,1-3-5,14,0.093,1-3-2,13,0.086,1-5-3,10,0.066,151
BBADAA,1-2-6,3,0.079,1-2-3,3,0.079,1-5-6,2,0.053,38
BBADAB,1-2-3,23,0.078,1-3-2,16,0.054,1-3-5,15,0.051,296
BBADAC,1-3-5,26,0.096,1-3-2,17,0.063,1-2-3,17,0.063,270
BBADAD,1-3-5,5,0.1,1-3-2,4,0.08,3-2-4,3,0.06,50
BBADBA,1-3-2,17,0.063,1-2-3,16,0.059,1-3-6,16,0.059,271
BBADBB,1-2-3,39,0.09,1-3-2,31,0.071,1-3-5,27,0.062,434
BBADBC,1-3-2,6,0.077,1-3-5,5,0.064,1-2-3,5,0.064,78
BBADBD,3-1-5,1,0.5,1-3-5,1,0.5,---,0,0.0,2
BBADBS,6-1-3,3,0.111,6-1-2,2,0.074,6-1-5,2,0.074,27
BBADCA,1-3-6,21,0.083,1-3-2,18,0.071,1-2-3,14,0.056,252
BBADCB,1-3-2,9,0.176,1-2-6,4,0.078,1-2-3,3,0.059,51
BBADCS,1-6-3,8,0.078,1-2-6,7,0.068,1-3-2,7,0.068,103
BBADDA,1-2-6,5,0.093,1-3-6,4,0.074,1-3-2,4,0.074,54
BBADDB,3-6-1,1,0.5,1-2-6,1,0.5,---,0,0.0,2
BBADDS,1-3-6,9,0.083,1-6-2,8,0.073,1-2-6,8,0.073,109
BBADSA,1-6-2,1,1.0,---,0,0.0,---,0,0.0,1
BBADSB,1-3-5,5,0.172,1-2-4,2,0.069,1-3-2,2,0.069,29
BBADSC,1-5-3,8,0.09,1-2-3,7,0.079,1-2-5,7,0.079,89
BBADSD,1-5-2,8,0.078,1-5-3,7,0.069,1-2-3,6,0.059,102
BBASBD,1-4-2,3,0.068,3-1-4,3,0.068,2-1-4,3,0.068,44
BBASCC,4-1-3,3,0.1,1-4-2,3,0.1,3-4-2,2,0.067,30
BBASCD,1-4-2,12,0.094,1-3-4,11,0.087,1-3-2,8,0.063,127
BBASDA,2-3-1,1,1.0,---,0,0.0,---,0,0.0,1
BBASDB,4-1-6,2,0.083,1-2-3,2,0.083,1-3-4,2,0.083,24
BBASDC,1-4-3,8,0.076,1-2-3,7,0.067,1-3-4,6,0.057,105
BBASDD,1-3-4,15,0.097,1-4-3,9,0.058,1-2-4,9,0.058,154
BBBAAB,1-4-2,1,0.5,1-2-3,1,0.5,---,0,0.0,2
BBBAAC,1-2-3,9,0.069,1-2-4,9,0.069,1-3-4,7,0.054,130
BBBAAD,1-2-4,33,0.071,1-2-3,29,0.063,1-4-2,24,0.052,463
BBBABA,4-1-5,1,0.333,3-5-6,1,0.333,3-4-2,1,0.333,3
BBBABB,1-2-4,36,0.067,1-2-3,35,0.065,1-3-2,28,0.052,536
BBBABC,1-2-4,96,0.065,1-3-4,85,0.058,1-2-3,84,0.057,1475
BBBABD,1-2-4,57,0.075,1-3-4,47,0.062,1-4-2,45,0.059,759
BBBACA,1-3-2,7,0.069,1-3-6,5,0.05,1-4-2,5,0.05,101
BBBACB,1-2-3,111,0.081,1-2-4,94,0.069,1-3-2,72,0.053,1370
BBBACC,1-2-4,83,0.082,1-4-2,69,0.068,1-2-3,65,0.064,1016
BBBACD,1-4-2,9,0.106,1-3-2,6,0.071,2-1-3,6,0.071,85
BBBADA,1-4-2,34,0.079,1-2-4,28,0.065,1-3-6,22,0.051,432
BBBADB,1-2-4,37,0.063,1-3-4,36,0.061,1-2-3,33,0.056,589
BBBADC,1-2-4,9,0.094,1-2-3,9,0.094,1-3-4,7,0.073,96
BBBADD,1-3-4,1,0.5,1-2-3,1,0.5,---,0,0.0,2
BBBADS,1-4-6,4,0.071,1-2-4,3,0.054,1-6-4,3,0.054,56
BBBASD,1-2-3,5,0.122,2-5-4,3,0.073,1-2-5,3,0.073,41
BBBBAA,6-4-5,1,0.5,4-3-1,1,0.5,---,0,0.0,2
BBBBAB,1-2-3,31,0.059,1-3-2,25,0.048,1-2-5,22,0.042,524
BBBBAC,1-2-3,87,0.071,1-3-4,70,0.057,1-3-2,65,0.053,1233
BBBBAD,1-2-3,53,0.076,1-2-5,51,0.073,1-3-2,30,0.043,696
BBBBBA,1-2-4,30,0.064,1-2-3,30,0.064,1-5-2,18,0.038,468
BBBBBB,1-2-3,587,0.081,1-2-4,420,0.058,1-3-2,407,0.056,7226
BBBBBC,1-2-3,279,0.081,1-2-4,228,0.067,1-3-4,193,0.056,3424
BBBBBD,1-3-2,19,0.071,1-2-3,18,0.067,1-4-2,17,0.063,269
BBBBBS,6-1-5,1,1.0,---,0,0.0,---,0,0.0,1
BBBBCA,1-2-3,75,0.065,1-2-6,67,0.058,1-3-2,67,0.058,1159
BBBBCB,1-2-3,287,0.091,1-2-4,198,0.063,1-3-2,182,0.058,3163
BBBBCC,1-2-4,36,0.1,1-2-3,35,0.097,1-3-2,29,0.081,360
BBBBCS,1-6-2,5,0.114,4-3-2,2,0.045,5-4-1,2,0.045,44
BBBBDA,1-2-3,45,0.075,1-2-4,29,0.049,1-2-6,29,0.049,597
BBBBDB,1-2-3,18,0.09,1-3-4,16,0.08,1-3-2,13,0.065,201
BBBBDC,1-4-3,2,0.667,2-1-3,1,0.333,---,0,0.0,3
BBBBDS,1-3-6,16,0.062,1-2-3,14,0.054,1-3-2,12,0.046,259
BBBBSB,5-4-1,1,1.0,---,0,0.0,---,0,0.0,1
BBBBSC,5-1-6,3,0.073,1-5-4,3,0.073,1-3-5,2,0.049,41
BBBBSD,1-5-2,18,0.071,1-5-3,17,0.067,1-2-5,17,0.067,254
BBBCAA,1-3-5,7,0.071,1-2-3,7,0.071,1-3-4,4,0.04,99
BBBCAB,1-2-5,63,0.06,1-2-3,54,0.052,1-3-5,53,0.051,1045
BBBCAC,1-2-3,63,0.076,1-2-5,57,0.069,1-3-2,43,0.052,824
BBBCAD,1-2-3,11,0.147,1-5-3,7,0.093,1-4-2,5,0.067,75
BBBCBA,1-2-3,60,0.059,1-2-6,59,0.058,1-2-4,46,0.045,1017
BBBCBB,1-2-3,247,0.096,1-3-2,158,0.061,1-2-4,129,0.05,2576
BBBCBC,1-2-3,34,0.114,1-3-2,20,0.067,1-2-5,17,0.057,299
BBBCBD,2-1-3,1,1.0,---,0,0.0,---,0,0.0,1
BBBCBS,1-3-6,3,0.103,6-1-3,3,0.103,1-6-2,2,0.069,29
BBBCCA,1-2-3,60,0.077,1-3-2,45,0.058,1-2-6,36,0.046,778
BBBCCB,1-2-3,41,0.139,1-3-2,27,0.091,1-2-4,18,0.061,296
BBBCCC,1-2-3,2,0.4,1-3-2,1,0.2,1-6-5,1,0.2,5
BBBCCS,1-3-6,14,0.07,1-6-2,12,0.06,1-6-3,9,0.045,200
BBBCDA,1-2-6,5,0.079,2-1-3,5,0.079,1-2-3,4,0.063,63
BBBCDS,1-2-6,13,0.08,1-6-2,12,0.074,1-6-3,9,0.056,162
BBBCSB,1-5-3,5,0.132,5-1-3,3,0.079,1-5-2,3,0.079,38
BBBCSC,1-2-5,16,0.077,1-5-3,13,0.062,1-5-2,13,0.062,209
BBBCSD,1-3-5,15,0.082,1-5-3,11,0.06,1-5-2,11,0.06,184
BBBDAA,1-2-3,22,0.08,1-2-6,13,0.047,1-5-2,13,0.047,275
BBBDAB,1-2-5,27,0.066,1-3-5,26,0.063,1-3-2,24,0.059,410
BBBDAC,1-2-5,8,0.111,1-2-3,6,0.083,1-3-5,5,0.069,72
BBBDAD,1-2-5,1,1.0,---,0,0.0,---,0,0.0,1
BBBDAS,1-3-6,4,0.148,5-2-6,2,0.074,6-2-3,2,0.074,27
BBBDBA,1-2-3,30,0.074,1-2-6,27,0.067,1-3-2,22,0.055,403
BBBDBB,1-2-3,16,0.119,1-3-5,8,0.06,1-3-6,7,0.052,134
BBBDBS,1-6-3,11,0.069,1-2-6,11,0.069,1-6-2,9,0.057,159
BBBDCA,1-2-6,9,0.153,1-3-2,8,0.136,1-6-2,5,0.085,59
BBBDCS,1-3-2,11,0.083,1-6-2,8,0.06,1-6-3,7,0.053,133
BBBDDS,1-2-6,5,0.132,1-6-3,3,0.079,3-6-2,2,0.053,38
BBBDSA,1-2-3,2,0.061,5-1-6,2,0.061,5-1-3,2,0.061,33
BBBDSB,1-5-2,15,0.083,1-3-5,13,0.072,1-2-5,12,0.066,181
BBBDSC,1-5-2,14,0.109,1-2-5,12,0.094,1-5-3,10,0.078,128
BBBDSD,1-5-2,5,0.119,1-2-3,3,0.071,1-3-2,3,0.071,42
BBBSAD,1-2-4,4,0.068,1-4-3,4,0.068,4-2-3,4,0.068,59
BBBSBB,3-1-6,1,0.333,1-4-2,1,0.333,1-2-4,1,0.333,3
BBBSBC,4-1-2,5,0.089,1-3-5,3,0.054,1-4-3,3,0.054,56
BBBSBD,1-4-2,27,0.089,1-4-3,22,0.072,1-2-4,20,0.066,304
BBBSCB,1-2-4,5,0.094,1-3-4,4,0.075,1-4-3,4,0.075,53
BBBSCC,1-4-2,17,0.065,1-3-4,14,0.054,1-4-3,13,0.05,261
BBBSCD,1-4-2,25,0.093,1-2-4,17,0.063,1-4-3,15,0.056,268
BBBSDA,1-6-2,2,0.074,4-1-2,2,0.074,1-2-4,2,0.074,27
BBBSDB,1-3-4,15,0.074,1-4-2,12,0.059,1-2-4,10,0.049,204
BBBSDC,1-2-4,20,0.119,1-4-2,14,0.083,1-4-3,12,0.071,168
BBBSDD,1-4-2,11,0.124,1-4-3,9,0.101,1-3-4,7,0.079,89
BBBSDS,6-2-4,1,0.5,1-4-5,1,0.5,---,0,0.0,2
BBCAAB,1-2-4,9,0.12,1-4-3,6,0.08,1-3-4,6,0.08,75
BBCAAC,1-4-2,25,0.062,1-2-4,25,0.062,1-2-5,19,0.047,405
BBCAAD,1-2-5,25,0.074,1-2-4,22,0.065,1-4-5,18,0.054,336
BBCABA,1-4-2,4,0.06,1-4-6,4,0.06,1-3-6,3,0.045,67
BBCABB,1-2-4,87,0.076,1-4-2,81,0.071,1-2-3,67,0.059,1139
BBCABC,1-2-4,76,0.085,1-4-2,51,0.057,1-4-3,40,0.045,898
BBCABD,1-2-4,9,0.085,1-2-3,9,0.085,1-4-2,6,0.057,106
BBCACA,1-2-4,25,0.058,1-4-3,23,0.054,1-2-6,21,0.049,429
BBCACB,1-2-4,79,0.094,1-4-2,55,0.065,1-4-3,42,0.05,842
BBCACC,1-2-4,13,0.124,1-3-4,7,0.067,1-4-2,6,0.057,105
BBCACS,6-1-4,2,0.077,4-6-1,2,0.077,1-2-6,2,0.077,26
BBCADA,1-2-4,22,0.068,1-4-6,20,0.062,1-2-6,17,0.053,322
BBCADB,1-2-4,11,0.126,1-2-5,4,0.046,1-2-6,4,0.046,87
BBCADS,1-4-6,15,0.093,1-2-6,9,0.056,1-6-2,8,0.05,161
BBCASC,1-4-5,2,0.133,1-4-2,2,0.133,5-1-4,2,0.133,15
BBCASD,1-5-2,9,0.071,1-2-3,9,0.071,2-1-5,7,0.056,126
BBCBAA,1-2-3,7,0.108,1-2-5,5,0.077,1-2-6,3,0.046,65
BBCBAB,1-2-3,54,0.055,1-2-4,50,0.051,1-2-5,48,0.049,986
BBCBAC,1-2-5,54,0.077,1-2-4,43,0.062,1-2-3,37,0.053,699
BBCBAD,1-2-5,8,0.09,1-5-3,6,0.067,2-1-5,6,0.067,89
BBCBBA,1-2-4,58,0.057,1-2-3,56,0.055,1-2-6,50,0.049,1019
BBCBBB,1-2-4,197,0.073,1-2-3,182,0.068,1-2-5,142,0.053,2693
BBCBBC,1-2-3,22,0.073,1-2-4,20,0.066,1-3-5,17,0.056,301
BBCBBS,1-2-6,3,0.125,6-5-2,2,0.083,6-4-2,1,0.042,24
BBCBCA,1-2-3,47,0.065,1-2-6,45,0.062,1-2-4,44,0.061,726
BBCBCB,1-2-3,22,0.079,1-2-4,22,0.079,1-4-2,18,0.064,280
BBCBCC,1-2-3,1,1.0,---,0,0.0,---,0,0.0,1
BBCBCS,1-2-4,8,0.058,1-6-2,7,0.051,1-4-6,6,0.043,138
BBCBDA,1-4-2,6,0.088,1-6-2,5,0.074,1-2-6,4,0.059,68
BBCBDB,1-2-6,2,0.5,1-4-6,1,0.25,1-2-4,1,0.25,4
BBCBDS,1-2-6,11,0.061,1-6-4,11,0.061,1-4-6,10,0.055,181
BBCBSB,1-2-5,3,0.115,1-4-5,3,0.115,1-5-2,2,0.077,26
BBCBSC,1-2-5,10,0.06,1-5-2,9,0.054,1-5-3,8,0.048,166
BBCBSD,1-5-2,13,0.085,1-2-4,11,0.072,5-1-2,9,0.059,153
BBCCAA,1-2-5,19,0.054,1-2-6,18,0.051,1-2-3,16,0.046,350
BBCCAB,1-2-5,49,0.078,1-2-3,38,0.06,1-5-2,32,0.051,630
BBCCAC,1-2-5,6,0.079,1-2-3,5,0.066,2-1-5,5,0.066,76
BBCCAD,1-3-5,1,1.0,---,0,0.0,---,0,0.0,1
BBCCAS,6-2-1,1,0.077,6-1-3,1,0.077,5-6-1,1,0.077,13
BBCCBA,1-2-6,42,0.07,1-2-3,33,0.055,1-2-5,30,0.05,603
BBCCBB,1-2-3,18,0.077,1-2-5,13,0.056,1-2-4,12,0.052,233
BBCCBS,1-6-2,11,0.068,1-2-6,10,0.062,1-3-6,9,0.056,161
BBCCCA,1-3-6,5,0.077,1-2-5,5,0.077,1-4-3,4,0.062,65
BBCCCB,2-1-6,1,0.5,1-6-2,1,0.5,---,0,0.0,2
BBCCCS,1-2-6,13,0.078,1-6-2,11,0.066,2-1-6,8,0.048,167
BBCCDA,1-2-6,1,1.0,---,0,0.0,---,0,0.0,1
BBCCDS,1-2-6,7,0.2,6-1-4,3,0.086,6-4-1,2,0.057,35
BBCCSA,4-6-3,2,0.154,1-5-2,2,0.154,1-4-5,2,0.154,13
BBCCSB,1-5-2,14,0.094,1-5-3,9,0.06,1-3-5,8,0.054,149
BBCCSC,1-5-2,11,0.077,1-2-5,9,0.063,1-5-4,7,0.049,143
BBCCSD,1-2-5,4,0.093,1-2-3,3,0.07,1-5-2,3,0.07,43
BBCDAA,1-2-5,18,0.09,2-1-5,13,0.065,2-1-6,8,0.04,199
BBCDAB,1-5-2,11,0.183,2-1-5,4,0.067,1-3-2,4,0.067,60
BBCDAC,1-5-3,1,0.5,1-2-4,1,0.5,---,0,0.0,2
BBCDAS,1-2-6,7,0.073,1-6-5,6,0.062,1-6-2,6,0.062,96
BBCDBA,1-5-6,4,0.087,1-6-3,4,0.087,1-2-3,4,0.087,46
BBCDBS,1-6-5,7,0.057,1-6-2,7,0.057,1-2-6,7,0.057,122
BBCDCS,1-2-6,4,0.148,1-3-6,2,0.074,1-2-3,2,0.074,27
BBCDDS,6-2-1,1,0.5,2-3-6,1,0.5,---,0,0.0,2
BBCDSA,1-5-2,6,0.068,1-5-6,5,0.057,1-2-5,5,0.057,88
BBCDSB,1-5-2,9,0.075,1-5-6,8,0.067,1-2-5,5,0.042,120
BBCDSC,1-2-5,4,0.25,5-6-4,1,0.062,5-2-1,1,0.062,16
BBCDSD,1-2-3,1,0.143,5-6-1,1,0.143,5-4-6,1,0.143,7
BBCDSS,2-3-5,1,0.25,1-5-6,1,0.25,1-2-6,1,0.25,4
BBCSAC,1-4-2,2,0.2,4-5-1,1,0.1,4-3-1,1,0.1,10
BBCSAD,1-2-4,12,0.085,1-4-2,12,0.085,1-4-5,10,0.07,142
BBCSBB,1-4-2,5,0.114,1-2-4,4,0.091,1-4-3,3,0.068,44
BBCSBC,1-4-2,17,0.069,1-4-5,13,0.053,1-2-4,12,0.049,247
BBCSBD,1-4-2,28,0.106,1-2-4,19,0.072,1-4-5,15,0.057,265
BBCSCA,1-4-2,2,0.143,1-2-6,2,0.143,4-6-2,1,0.071,14
BBCSCB,1-4-2,27,0.128,4-1-6,11,0.052,2-1-4,10,0.047,211
BBCSCC,1-4-2,21,0.077,4-1-2,16,0.059,1-2-4,14,0.051,272
BBCSCD,1-4-2,12,0.179,4-1-3,4,0.06,1-4-5,4,0.06,67
BBCSDA,1-4-2,14,0.102,4-1-6,9,0.066,4-2-1,7,0.051,137
BBCSDB,1-4-3,18,0.092,1-4-2,17,0.087,4-1-6,14,0.071,196
BBCSDC,1-4-3,5,0.139,1-2-4,4,0.111,4-1-2,3,0.083,36
BBCSDD,4-2-3,1,0.167,4-1-5,1,0.167,4-1-3,1,0.167,6
BBCSDS,6-5-1,1,0.333,4-5-6,1,0.333,1-2-4,1,0.333,3
BBCSSD,4-5-2,2,0.5,4-3-5,1,0.25,1-2-3,1,0.25,4
BBDAAA,1-2-4,2,0.118,5-6-2,2,0.118,1-5-6,2,0.118,17
BBDAAB,1-2-4,9,0.055,4-1-5,7,0.043,1-2-5,7,0.043,164
BBDAAC,1-2-4,18,0.104,1-2-5,11,0.064,1-5-2,11,0.064,173
BBDAAD,1-4-2,5,0.132,1-2-4,4,0.105,1-2-5,3,0.079,38
BBDABA,1-2-4,9,0.058,2-1-4,9,0.058,1-2-6,8,0.052,155
BBDABB,1-4-2,26,0.072,1-2-4,20,0.055,1-2-5,17,0.047,362
BBDABC,1-4-2,6,0.1,1-4-5,3,0.05,1-4-6,3,0.05,60
BBDABD,1-5-2,1,0.5,1-4-2,1,0.5,---,0,0.0,2
BBDABS,6-1-4,2,0.154,1-6-2,2,0.154,6-4-5,1,0.077,13
BBDACA,1-2-4,11,0.062,1-2-6,11,0.062,1-4-6,11,0.062,176
BBDACB,2-1-4,6,0.08,1-4-2,4,0.053,1-2-6,3,0.04,75
BBDACS,1-6-4,5,0.075,1-2-6,5,0.075,1-2-4,4,0.06,67
BBDADA,1-4-2,8,0.186,1-2-4,5,0.116,1-2-6,5,0.116,43
BBDADB,4-6-1,1,0.5,2-1-4,1,0.5,---,0,0.0,2
BBDADS,1-2-6,7,0.097,1-6-3,5,0.069,1-6-2,4,0.056,72
BBDASB,2-1-3,2,0.286,1-4-5,2,0.286,1-5-2,1,0.143,7
BBDASC,5-1-2,3,0.086,1-6-4,2,0.057,1-5-4,2,0.057,35
BBDASD,1-4-5,5,0.102,4-5-1,5,0.102,1-5-4,4,0.082,49
BBDBAA,1-2-4,13,0.08,1-2-5,12,0.074,1-5-6,7,0.043,163
BBDBAB,1-2-4,22,0.082,1-2-5,15,0.056,1-2-6,13,0.049,268
BBDBAC,1-4-2,4,0.121,5-1-2,2,0.061,4-5-6,2,0.061,33
BBDBAD,4-1-2,1,1.0,---,0,0.0,---,0,0.0,1
BBDBAS,1-4-2,2,0.133,1-5-6,1,0.067,1-2-5,1,0.067,15
BBDBBA,1-2-3,18,0.054,1-4-6,17,0.051,1-2-6,13,0.039,333
BBDBBB,1-2-4,11,0.113,1-2-5,9,0.093,1-2-3,6,0.062,97
BBDBBC,1-4-2,1,1.0,---,0,0.0,---,0,0.0,1
BBDBBS,1-2-6,7,0.104,1-3-2,4,0.06,1-4-2,3,0.045,67
BBDBCA,1-2-6,8,0.121,1-4-2,5,0.076,1-3-4,4,0.061,66
BBDBCB,1-6-2,1,1.0,---,0,0.0,---,0,0.0,1
BBDBCS,1-2-6,6,0.074,1-6-2,4,0.049,1-3-2,3,0.037,81
BBDBDA,4-6-2,1,0.333,1-6-4,1,0.333,1-4-2,1,0.333,3
BBDBDS,1-6-3,3,0.083,1-6-4,3,0.083,1-6-2,3,0.083,36
BBDBSA,6-1-4,1,0.083,5-6-4,1,0.083,5-4-6,1,0.083,12
BBDBSB,1-5-4,6,0.077,1-2-5,5,0.064,1-5-2,4,0.051,78
BBDBSC,1-2-5,7,0.084,1-5-4,5,0.06,4-5-1,4,0.048,83
BBDBSD,1-5-3,3,0.158,1-2-5,3,0.158,2-1-5,2,0.105,19
BBDCAA,1-2-5,13,0.087,1-2-6,12,0.08,1-5-6,7,0.047,150
BBDCAB,1-2-5,5,0.106,1-4-2,3,0.064,2-1-5,2,0.043,47
BBDCAS,1-2-6,5,0.109,1-2-5,3,0.065,4-5-6,3,0.065,46
BBDCBA,2-1-3,4,0.091,1-5-2,4,0.091,1-2-6,4,0.091,44
BBDCBB,1-2-4,1,1.0,---,0,0.0,---,0,0.0,1
BBDCBS,1-6-2,7,0.113,1-2-4,3,0.048,1-2-5,3,0.048,62
BBDCCS,1-2-6,2,0.105,2-1-6,1,0.053,1-6-2,1,0.053,19
BBDCDS,6-2-4,1,0.333,2-1-6,1,0.333,2-1-3,1,0.333,3
BBDCSA,1-5-2,5,0.1,1-5-6,4,0.08,2-1-5,3,0.06,50
BBDCSB,1-2-5,8,0.088,1-5-6,7,0.077,1-5-2,7,0.077,91
BBDCSC,1-2-5,5,0.227,1-5-6,3,0.136,5-4-1,2,0.091,22
BBDCSD,1-5-2,2,0.5,1-5-4,1,0.25,1-2-5,1,0.25,4
BBDCSS,1-4-3,1,1.0,---,0,0.0,---,0,0.0,1
BBDDAA,1-2-5,2,0.077,1-6-2,2,0.077,1-5-6,2,0.077,26
BBDDAS,1-5-2,3,0.058,1-5-3,3,0.058,1-6-2,3,0.058,52
BBDDBA,2-1-4,1,1.0,---,0,0.0,---,0,0.0,1
BBDDBS,1-6-2,3,0.176,1-2-5,1,0.059,1-4-3,1,0.059,17
BBDDCS,1-2-6,2,0.667,1-6-5,1,0.333,---,0,0.0,3
BBDDSA,1-2-5,3,0.115,5-6-4,2,0.077,5-1-6,2,0.077,26
BBDDSB,1-5-2,6,0.214,1-5-3,2,0.071,6-5-2,1,0.036,28
BBDDSC,5-2-6,1,0.5,1-5-4,1,0.5,---,0,0.0,2
BBDDSS,1-2-4,2,0.154,1-5-3,1,0.077,1-5-6,1,0.077,13
BBDSAA,1-6-5,1,1.0,---,0,0.0,---,0,0.0,1
BBDSAB,1-5-2,1,0.091,5-2-6,1,0.091,5-2-1,1,0.091,11
BBDSAC,1-4-5,4,0.098,4-5-1,4,0.098,1-4-6,3,0.073,41
BBDSAD,1-2-4,8,0.113,4-1-5,6,0.085,1-5-4,5,0.07,71
BBDSBA,4-1-6,2,0.182,6-1-2,1,0.091,5-4-3,1,0.091,11
BBDSBB,1-4-2,11,0.108,1-2-4,5,0.049,4-1-2,4,0.039,102
BBDSBC,1-4-2,13,0.124,4-1-5,7,0.067,1-3-4,7,0.067,105
BBDSBD,2-4-1,5,0.139,4-1-2,3,0.083,1-3-2,3,0.083,36
BBDSCA,1-2-4,8,0.14,4-2-6,3,0.053,1-4-6,3,0.053,57
BBDSCB,1-4-2,13,0.114,1-2-4,10,0.088,4-1-2,6,0.053,114
BBDSCC,5-1-6,2,0.105,4-1-6,2,0.105,1-4-5,2,0.105,19
BBDSCD,4-2-1,1,0.5,4-5-2,1,0.5,---,0,0.0,2
BBDSCS,1-4-6,1,1.0,---,0,0.0,---,0,0.0,1
BBDSDA,1-4-2,5,0.083,1-4-3,4,0.067,4-6-2,4,0.067,60
BBDSDB,4-1-2,5,0.139,1-2-4,4,0.111,1-4-2,4,0.111,36
BBDSDC,1-4-3,1,0.333,1-4-2,1,0.333,1-2-6,1,0.333,3
BBDSDD,4-2-5,1,1.0,---,0,0.0,---,0,0.0,1
BBDSDS,4-2-1,2,0.1,1-6-4,2,0.1,1-4-2,2,0.1,20
BBDSSB,5-2-6,1,1.0,---,0,0.0,---,0,0.0,1
BBDSSC,5-4-2,1,0.25,5-1-4,1,0.25,4-5-6,1,0.25,4
BBDSSD,1-4-5,3,0.176,4-2-1,2,0.118,1-5-2,2,0.118,17
BBSABD,1-3-5,6,0.1,1-3-2,4,0.067,1-4-3,4,0.067,60
BBSACC,1-3-2,1,0.083,4-6-2,1,0.083,4-2-6,1,0.083,12
BBSACD,1-3-2,13,0.085,1-4-3,13,0.085,1-3-4,11,0.072,153
BBSADA,6-3-4,1,0.5,4-3-2,1,0.5,---,0,0.0,2
BBSADB,3-4-1,4,0.105,1-3-4,3,0.079,1-3-2,3,0.079,38
BBSADC,3-1-4,10,0.096,1-3-2,9,0.087,1-3-4,8,0.077,104
BBSADD,1-3-4,12,0.113,3-1-4,8,0.075,1-4-3,8,0.075,106
BBSBAD,1-3-2,4,0.111,3-1-4,4,0.111,5-1-2,2,0.056,36
BBSBBB,4-5-1,1,0.333,3-4-1,1,0.333,1-3-5,1,0.333,3
BBSBBC,1-3-5,5,0.116,3-2-5,4,0.093,1-3-2,4,0.093,43
BBSBBD,1-3-2,23,0.09,1-2-3,22,0.086,3-1-4,18,0.071,255
BBSBCB,1-3-2,5,0.116,1-3-5,5,0.116,3-4-5,2,0.047,43
BBSBCC,1-3-4,21,0.082,1-3-2,20,0.078,1-2-3,19,0.074,257
BBSBCD,1-3-2,26,0.118,1-2-3,19,0.086,3-1-4,17,0.077,221
BBSBDA,1-3-4,4,0.114,1-3-6,3,0.086,1-2-3,3,0.086,35
BBSBDB,1-3-2,14,0.081,1-2-3,14,0.081,1-3-4,11,0.064,173
BBSBDC,1-3-2,11,0.078,1-2-3,10,0.071,3-2-1,9,0.064,141
BBSBDD,1-3-2,6,0.13,1-2-3,5,0.109,3-4-2,3,0.065,46
BBSCAC,1-4-3,1,0.059,1-2-6,1,0.059,1-2-5,1,0.059,17
BBSCAD,1-3-2,15,0.099,1-3-5,12,0.079,3-1-5,11,0.072,152
BBSCBB,1-3-2,6,0.15,1-3-4,6,0.15,1-4-3,3,0.075,40
BBSCBC,1-2-3,24,0.119,1-3-2,15,0.074,1-3-5,12,0.059,202
BBSCBD,1-3-2,20,0.093,1-2-3,19,0.088,1-3-4,16,0.074,215
